,imagename,Channels,Height,Width,Zero_non_zero_pixel_ratio,minPixelValue,maxPixelValue,class
20190,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1440.tif,13,64,64,0.0,8.0,3900.0,AnnualCrop
19577,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_27.tif,13,64,64,0.0,8.0,4652.0,AnnualCrop
18912,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2488.tif,13,64,64,0.0,8.0,5325.0,AnnualCrop
21574,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_702.tif,13,64,64,0.0,8.0,5366.0,AnnualCrop
19686,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_622.tif,13,64,64,0.0,10.0,5301.0,AnnualCrop
19591,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_167.tif,13,64,64,0.0,9.0,5485.0,AnnualCrop
19795,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_578.tif,13,64,64,0.0,10.0,5327.0,AnnualCrop
21418,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_179.tif,13,64,64,0.0,8.0,4962.0,AnnualCrop
21399,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1903.tif,13,64,64,0.0,11.0,3642.0,AnnualCrop
18968,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1001.tif,13,64,64,0.0,11.0,4941.0,AnnualCrop
20658,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1567.tif,13,64,64,0.0,12.0,4304.0,AnnualCrop
19073,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_138.tif,13,64,64,0.0,14.0,4479.0,AnnualCrop
19172,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2391.tif,13,64,64,0.0,7.0,5264.0,AnnualCrop
19193,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2524.tif,13,64,64,0.0,10.0,3326.0,AnnualCrop
21194,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2332.tif,13,64,64,0.0,10.0,4366.0,AnnualCrop
21180,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1294.tif,13,64,64,0.0,8.0,5151.0,AnnualCrop
19158,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1337.tif,13,64,64,0.0,10.0,3807.0,AnnualCrop
19152,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1496.tif,13,64,64,0.0,8.0,5450.0,AnnualCrop
19447,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2559.tif,13,64,64,0.0,13.0,4932.0,AnnualCrop
19670,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_113.tif,13,64,64,0.0,8.0,5251.0,AnnualCrop
20070,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1409.tif,13,64,64,0.0,12.0,3729.0,AnnualCrop
19545,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2752.tif,13,64,64,0.0,12.0,4327.0,AnnualCrop
19070,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_589.tif,13,64,64,0.0,12.0,4487.0,AnnualCrop
20470,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1844.tif,13,64,64,0.0,11.0,5196.0,AnnualCrop
21692,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_314.tif,13,64,64,0.0,9.0,4847.0,AnnualCrop
21625,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_272.tif,13,64,64,0.0,13.0,4095.0,AnnualCrop
20310,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2328.tif,13,64,64,0.0,10.0,5306.0,AnnualCrop
20246,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1065.tif,13,64,64,0.0,10.0,4401.0,AnnualCrop
19272,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_737.tif,13,64,64,0.0,8.0,4831.0,AnnualCrop
20843,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2189.tif,13,64,64,0.0,9.0,4521.0,AnnualCrop
21134,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2827.tif,13,64,64,0.0,10.0,4725.0,AnnualCrop
21624,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_100.tif,13,64,64,0.0,13.0,5168.0,AnnualCrop
21407,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1473.tif,13,64,64,0.0,8.0,5179.0,AnnualCrop
19465,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2357.tif,13,64,64,0.0,7.0,4647.0,AnnualCrop
19694,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_989.tif,13,64,64,0.0,11.0,5281.0,AnnualCrop
21305,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1679.tif,13,64,64,0.0,9.0,4749.0,AnnualCrop
19119,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_926.tif,13,64,64,0.0,14.0,4655.0,AnnualCrop
21259,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2441.tif,13,64,64,0.0,13.0,5133.0,AnnualCrop
19709,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_106.tif,13,64,64,0.0,10.0,4169.0,AnnualCrop
19316,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2697.tif,13,64,64,0.0,11.0,4335.0,AnnualCrop
18837,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_500.tif,13,64,64,0.0,12.0,4325.0,AnnualCrop
20959,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1379.tif,13,64,64,0.0,10.0,4485.0,AnnualCrop
21132,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2974.tif,13,64,64,0.0,10.0,3933.0,AnnualCrop
19652,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_593.tif,13,64,64,0.0,12.0,4143.0,AnnualCrop
19979,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1506.tif,13,64,64,0.0,12.0,5350.0,AnnualCrop
20049,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_79.tif,13,64,64,0.0,9.0,4890.0,AnnualCrop
20578,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2073.tif,13,64,64,0.0,15.0,5477.0,AnnualCrop
20485,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_402.tif,13,64,64,0.0,12.0,4704.0,AnnualCrop
20905,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1951.tif,13,64,64,0.0,8.0,4230.0,AnnualCrop
21476,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2851.tif,13,64,64,0.0,10.0,4073.0,AnnualCrop
18776,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_63.tif,13,64,64,0.0,14.0,4191.0,AnnualCrop
21174,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1810.tif,13,64,64,0.0,10.0,5237.0,AnnualCrop
19900,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2029.tif,13,64,64,0.0,10.0,3983.0,AnnualCrop
20680,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1760.tif,13,64,64,0.0,10.0,3984.0,AnnualCrop
20694,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_653.tif,13,64,64,0.0,9.0,3671.0,AnnualCrop
20936,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2309.tif,13,64,64,0.0,14.0,4997.0,AnnualCrop
21664,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_116.tif,13,64,64,0.0,9.0,5188.0,AnnualCrop
19480,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2866.tif,13,64,64,0.0,14.0,4778.0,AnnualCrop
19935,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_358.tif,13,64,64,0.0,9.0,5152.0,AnnualCrop
18793,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2165.tif,13,64,64,0.0,10.0,5329.0,AnnualCrop
19280,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2203.tif,13,64,64,0.0,10.0,5180.0,AnnualCrop
18939,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2460.tif,13,64,64,0.0,11.0,5168.0,AnnualCrop
19383,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2149.tif,13,64,64,0.0,14.0,4872.0,AnnualCrop
20135,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_602.tif,13,64,64,0.0,11.0,5406.0,AnnualCrop
19951,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1099.tif,13,64,64,0.0,10.0,5127.0,AnnualCrop
21242,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2522.tif,13,64,64,0.0,10.0,4403.0,AnnualCrop
18871,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2248.tif,13,64,64,0.0,10.0,4603.0,AnnualCrop
19359,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_862.tif,13,64,64,0.0,9.0,5220.0,AnnualCrop
20897,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2986.tif,13,64,64,0.0,10.0,5237.0,AnnualCrop
21041,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_417.tif,13,64,64,0.0,9.0,5259.0,AnnualCrop
18958,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_671.tif,13,64,64,0.0,8.0,5303.0,AnnualCrop
19596,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1702.tif,13,64,64,0.0,12.0,4500.0,AnnualCrop
20067,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1940.tif,13,64,64,0.0,8.0,5305.0,AnnualCrop
20118,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_476.tif,13,64,64,0.0,11.0,3812.0,AnnualCrop
18973,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2053.tif,13,64,64,0.0,9.0,4106.0,AnnualCrop
19376,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2491.tif,13,64,64,0.0,10.0,5421.0,AnnualCrop
21455,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2706.tif,13,64,64,0.0,8.0,4590.0,AnnualCrop
19599,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_271.tif,13,64,64,0.0,7.0,4990.0,AnnualCrop
20742,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1534.tif,13,64,64,0.0,14.0,4280.0,AnnualCrop
20928,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_610.tif,13,64,64,0.0,9.0,5085.0,AnnualCrop
21651,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1828.tif,13,64,64,0.0,10.0,5215.0,AnnualCrop
21173,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_482.tif,13,64,64,0.0,11.0,3722.0,AnnualCrop
19225,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_486.tif,13,64,64,0.0,11.0,5204.0,AnnualCrop
19197,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1101.tif,13,64,64,0.0,12.0,4247.0,AnnualCrop
20342,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1361.tif,13,64,64,0.0,11.0,4199.0,AnnualCrop
20739,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_972.tif,13,64,64,0.0,9.0,4441.0,AnnualCrop
21726,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_775.tif,13,64,64,0.0,9.0,5196.0,AnnualCrop
20732,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2740.tif,13,64,64,0.0,11.0,4912.0,AnnualCrop
19823,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1449.tif,13,64,64,0.0,9.0,5169.0,AnnualCrop
19157,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_87.tif,13,64,64,0.0,11.0,5124.0,AnnualCrop
20196,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_160.tif,13,64,64,0.0,8.0,5288.0,AnnualCrop
21610,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_744.tif,13,64,64,0.0,9.0,4143.0,AnnualCrop
19915,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1861.tif,13,64,64,0.0,10.0,5189.0,AnnualCrop
19870,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1023.tif,13,64,64,0.0,7.0,3604.0,AnnualCrop
19185,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_650.tif,13,64,64,0.0,11.0,5022.0,AnnualCrop
19121,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1540.tif,13,64,64,0.0,8.0,5298.0,AnnualCrop
20433,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1196.tif,13,64,64,0.0,10.0,4834.0,AnnualCrop
21467,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_985.tif,13,64,64,0.0,14.0,5198.0,AnnualCrop
21700,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_853.tif,13,64,64,0.0,10.0,4268.0,AnnualCrop
19849,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1052.tif,13,64,64,0.0,11.0,5430.0,AnnualCrop
20386,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1062.tif,13,64,64,0.0,11.0,4959.0,AnnualCrop
20426,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2755.tif,13,64,64,0.0,10.0,5475.0,AnnualCrop
20029,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2078.tif,13,64,64,0.0,12.0,4171.0,AnnualCrop
19056,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_343.tif,13,64,64,0.0,15.0,5316.0,AnnualCrop
20907,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_968.tif,13,64,64,0.0,18.0,4325.0,AnnualCrop
21633,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_123.tif,13,64,64,0.0,10.0,5314.0,AnnualCrop
18794,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_701.tif,13,64,64,0.0,11.0,4732.0,AnnualCrop
19631,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_524.tif,13,64,64,0.0,10.0,4976.0,AnnualCrop
21016,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_453.tif,13,64,64,0.0,10.0,5206.0,AnnualCrop
20961,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1260.tif,13,64,64,0.0,8.0,4050.0,AnnualCrop
21478,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2424.tif,13,64,64,0.0,12.0,3445.0,AnnualCrop
21362,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_945.tif,13,64,64,0.0,10.0,5404.0,AnnualCrop
20640,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1347.tif,13,64,64,0.0,7.0,5374.0,AnnualCrop
20052,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1306.tif,13,64,64,0.0,12.0,5471.0,AnnualCrop
20381,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2948.tif,13,64,64,0.0,12.0,3880.0,AnnualCrop
20902,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1966.tif,13,64,64,0.0,11.0,5097.0,AnnualCrop
19570,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_690.tif,13,64,64,0.0,7.0,4784.0,AnnualCrop
21543,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2780.tif,13,64,64,0.0,6.0,5223.0,AnnualCrop
21034,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2826.tif,13,64,64,0.0,8.0,5219.0,AnnualCrop
20833,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_842.tif,13,64,64,0.0,10.0,4089.0,AnnualCrop
20537,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1366.tif,13,64,64,0.0,11.0,5028.0,AnnualCrop
20343,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2656.tif,13,64,64,0.0,11.0,3916.0,AnnualCrop
20670,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2296.tif,13,64,64,0.0,36.0,5090.0,AnnualCrop
19762,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1436.tif,13,64,64,0.0,7.0,4695.0,AnnualCrop
19867,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2408.tif,13,64,64,0.0,13.0,3720.0,AnnualCrop
19649,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1914.tif,13,64,64,0.0,9.0,3322.0,AnnualCrop
19523,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2076.tif,13,64,64,0.0,9.0,5490.0,AnnualCrop
20573,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1265.tif,13,64,64,0.0,11.0,4770.0,AnnualCrop
20873,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1920.tif,13,64,64,0.0,10.0,4349.0,AnnualCrop
19039,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2800.tif,13,64,64,0.0,14.0,4081.0,AnnualCrop
20039,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_516.tif,13,64,64,0.0,14.0,4734.0,AnnualCrop
21535,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2062.tif,13,64,64,0.0,14.0,4346.0,AnnualCrop
19714,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_844.tif,13,64,64,0.0,7.0,4276.0,AnnualCrop
21619,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_782.tif,13,64,64,0.0,10.0,4799.0,AnnualCrop
20682,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_494.tif,13,64,64,0.0,9.0,4712.0,AnnualCrop
21347,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1385.tif,13,64,64,0.0,9.0,4278.0,AnnualCrop
21596,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_749.tif,13,64,64,0.0,13.0,4030.0,AnnualCrop
19800,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_907.tif,13,64,64,0.0,13.0,4368.0,AnnualCrop
19175,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2705.tif,13,64,64,0.0,9.0,4747.0,AnnualCrop
19489,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1501.tif,13,64,64,0.0,10.0,3161.0,AnnualCrop
18929,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1901.tif,13,64,64,0.0,15.0,4254.0,AnnualCrop
20641,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1730.tif,13,64,64,0.0,10.0,4540.0,AnnualCrop
19323,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_948.tif,13,64,64,0.0,7.0,5066.0,AnnualCrop
18963,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2754.tif,13,64,64,0.0,10.0,4721.0,AnnualCrop
20037,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_222.tif,13,64,64,0.0,11.0,5439.0,AnnualCrop
19177,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_266.tif,13,64,64,0.0,12.0,4891.0,AnnualCrop
19839,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_414.tif,13,64,64,0.0,10.0,4123.0,AnnualCrop
20929,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1549.tif,13,64,64,0.0,10.0,5228.0,AnnualCrop
20869,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1173.tif,13,64,64,0.0,11.0,3695.0,AnnualCrop
20022,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1187.tif,13,64,64,0.0,10.0,5135.0,AnnualCrop
21098,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2980.tif,13,64,64,0.0,8.0,5309.0,AnnualCrop
21145,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2220.tif,13,64,64,0.0,9.0,4836.0,AnnualCrop
19901,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_543.tif,13,64,64,0.0,8.0,5262.0,AnnualCrop
21506,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1044.tif,13,64,64,0.0,11.0,4385.0,AnnualCrop
21499,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2513.tif,13,64,64,0.0,11.0,5268.0,AnnualCrop
20466,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2338.tif,13,64,64,0.0,10.0,4939.0,AnnualCrop
19321,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1190.tif,13,64,64,0.0,16.0,4616.0,AnnualCrop
20066,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_2811.tif,13,64,64,0.0,10.0,4873.0,AnnualCrop
21292,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1464.tif,13,64,64,0.0,10.0,5365.0,AnnualCrop
20766,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1913.tif,13,64,64,0.0,11.0,5137.0,AnnualCrop
18984,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1405.tif,13,64,64,0.0,13.0,4245.0,AnnualCrop
21284,../input/eurosat-dataset/EuroSATallBands/AnnualCrop/AnnualCrop_1707.tif,13,64,64,0.0,9.0,3799.0,AnnualCrop
